INFO - StartupListener.loadConfiguration(93) | Pragmatach configuration loaded from class 'com.khubla.pragmatach.framework.configuration.PropertiesFileConfigurationImpl'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.framework.controller.impl.DefaultContextRootController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.AdminUserController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.ShowI8NController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.framework.controller.impl.system.HttpErrorController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.ShowCookiesController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.ShowJVMController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.AdminLoginController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.framework.controller.impl.TrivialController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.ShowRouteCacheController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.examples.uploadexample.UploadController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.ShowRoutesController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.framework.controller.impl.NotFoundController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.ShowPluginsController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.framework.controller.impl.StaticResourceController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.examples.uploadexample.IndexController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.ShowServerController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.ShowControllersController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.ShowEnvironmentController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.ShowNetworkController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.ShowConfigurationController'
INFO - ControllerClasses.buildDB(42) | Found controller 'com.khubla.pragmatach.plugin.adminapp.AdminController'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.framework.controller.impl.DefaultContextRootController:render' with route specification '/*'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowI8NController:render' with route specification '/pragmatach/admin/i8n'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowCookiesController:render' with route specification '/pragmatach/admin/cookies'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowCookiesController:clearCookies' with route specification '/pragmatach/admin/cookies/clearCookies'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowJVMController:render' with route specification '/pragmatach/admin/jvm'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.AdminLoginController:render' with route specification '/pragmatach/admin/login'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.AdminLoginController:doLogin' with route specification '/pragmatach/admin/login/doLogin'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowRouteCacheController:clearCache' with route specification '/pragmatach/admin/routecache/clear'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowRouteCacheController:render' with route specification '/pragmatach/admin/routecache'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.examples.uploadexample.UploadController:render' with route specification '/upload'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowRoutesController:render' with route specification '/pragmatach/admin/routes'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowPluginsController:render' with route specification '/pragmatach/admin/plugins'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.framework.controller.impl.StaticResourceController:render' with route specification '/public/*'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.examples.uploadexample.IndexController:render' with route specification '/'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowServerController:render' with route specification '/pragmatach/admin/server'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowControllersController:render' with route specification '/pragmatach/admin/controllers'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
